iter	RMSE
208	10.53893182
209	10.50290911
210	10.4270882
211	10.38144864
212	10.33538863
213	10.28381812
214	10.22202525
215	10.17600117
216	10.11704381
217	10.07198582
218	9.993366503
219	9.96050517
220	9.90363444
221	9.866925756
222	9.802665757
223	9.731063836
224	9.660251993
225	9.636649384
226	9.576681499
227	9.546810076
228	9.506127855
229	9.445129277
230	9.382453289
231	9.340940655
232	9.301269157
233	9.284434297
234	9.234009792
235	9.20809117
236	9.176765275
237	9.116201974
238	9.085008899
239	9.069908817
240	9.022737064
241	8.988582222
242	8.945053682
243	8.910403927
244	8.882379549
245	8.828087108
246	8.797687009
247	8.764462297
248	8.719135817
249	8.673908109
250	8.626298067
251	8.580148453
252	8.555645167
253	8.535248104
254	8.502373194
255	8.443465269
256	8.407912203
257	8.377376077
258	8.335060477
259	8.313754378
260	8.303339287
261	8.261918308
262	8.235606464
263	8.205295141
264	8.177778449
265	8.156116514
266	8.128676633
267	8.086533353
268	8.031335929
269	8.0206528
270	7.97216073
271	7.940367421
272	7.885478152
273	7.854544687
274	7.825006181
275	7.799661533
276	7.76745105
277	7.730432587
278	7.695476238
279	7.638445151
280	7.592658141
281	7.560039123
282	7.541198197
283	7.507358972
284	7.481653895
285	7.42758615
286	7.409253173
287	7.365224006
288	7.3400347
289	7.302202562
290	7.254268614
291	7.226992062
292	7.196281742
293	7.170636772
294	7.14599575
295	7.122742929
296	7.104313401
297	7.070433637
298	7.054393089
299	7.028796937
300	6.988245248
301	6.968495439
302	6.957234059
303	6.90684574
304	6.875025747
305	6.839149673
306	6.813964313
307	6.792016171
308	6.747765958
309	6.724178446
310	6.695300866
311	6.668683909
312	6.65407041
313	6.633466273
314	6.593239753
315	6.583284975
316	6.565656467
317	6.555130864
318	6.533406081
319	6.498635045
320	6.460253343
321	6.419465325
322	6.37598202
323	6.355691252
324	6.321349578
325	6.281627556
326	6.245505448
327	6.228707088
328	6.219156306
329	6.192208017
330	6.162415393
331	6.156643249
332	6.14210767
333	6.121870329
334	6.090916924
335	6.067504509
336	6.055745801
337	6.019135446
338	5.997009636
339	5.966610662
340	5.94415836
341	5.909256375
342	5.874566754
343	5.862736011
344	5.844894771
345	5.828209748
346	5.79668314
347	5.768241516
348	5.749398861
349	5.719799006
350	5.702209811
351	5.688989605
352	5.666299974
353	5.624378763
354	5.596411139
355	5.574871448
356	5.564116969
357	5.545786085
358	5.51830271
359	5.490060109
360	5.482724243
361	5.478148778
362	5.46830728
363	5.440436299
364	5.421146365
365	5.389419922
366	5.375319114
367	5.360372389
368	5.351892612
369	5.343601326
370	5.328877901
371	5.303503275
372	5.279116477
373	5.248401793
374	5.237260434
375	5.226580839
376	5.218253281
377	5.193637922
378	5.188148454
379	5.183349599
380	5.16781624
381	5.149478836
382	5.136895234
383	5.123789202
384	5.107191891
385	5.080457318
386	5.051395034
387	5.038695537
388	5.031799616
389	5.017888218
390	5.011973392
391	4.992045856
392	4.969634096
393	4.942961941
394	4.936994765
395	4.915582219
396	4.909145113
397	4.904721762
398	4.890081757
399	4.872037657
400	4.860354228
401	4.856481081
402	4.851690315
403	4.829576009
404	4.824868566
405	4.802111066
406	4.788984034
407	4.7763514
408	4.764880093
409	4.752423812
410	4.741803394
411	4.720349796
412	4.693495109
413	4.674556322
414	4.655608507
415	4.635498864
416	4.63060747
417	4.606909315
418	4.583241671
419	4.578820569
420	4.575756447
421	4.564307854
422	4.558477414
423	4.551816869
424	4.536790224
425	4.522156844
426	4.512777846
427	4.508719754
428	4.493340093
429	4.475888625
430	4.466898225
431	4.438005316
432	4.418193431
433	4.402803986
434	4.374306883
435	4.370118797
436	4.352912249
437	4.33464106
438	4.318041186
439	4.310073815
440	4.302815505
441	4.29371511
442	4.281505001
443	4.267076938
444	4.251177104
445	4.231125995
446	4.213817649
447	4.203207322
448	4.192970618
449	4.173583646
450	4.160666459
451	4.144798994
452	4.134225118
453	4.124108679
454	4.119602561
455	4.100875849
456	4.085239222
457	4.075485554
458	4.063741015
459	4.049745466
460	4.046500558
461	4.036515208
462	4.026042764
463	4.004629942
464	3.988549165
465	3.970664998
466	3.96728325
467	3.955175021
468	3.933734565
469	3.924193662
470	3.908341343
471	3.890289989
472	3.885194614
473	3.872306308
474	3.856956841
475	3.848674552
476	3.837165475
477	3.833622445
478	3.824736893
479	3.80728851
480	3.796737859
481	3.782325293
482	3.77892159
483	3.772447741
484	3.766242069
485	3.753727035
486	3.742672686
487	3.735422753
488	3.724357926
489	3.712997532
490	3.699323377
491	3.681294858
492	3.669437752
493	3.657810945
494	3.652471687
495	3.649220229
496	3.635996851
497	3.621545735
498	3.604607695
499	3.602391098
500	3.585345938
501	3.565662128
502	3.557884383
503	3.540610619
504	3.533690843
505	3.518386634
506	3.515186632
507	3.50332372
508	3.493644019
509	3.483447535
510	3.477294014
511	3.46274671
512	3.448928187
513	3.433038962
514	3.430320457
515	3.41660687
516	3.408773759
517	3.394502577
518	3.382261166
519	3.370806394
520	3.363750732
521	3.3506383
522	3.343103448
523	3.329025157
524	3.320292695
525	3.305495688
526	3.297570047
527	3.287696567
528	3.277434244
529	3.270322917
530	3.251904511
531	3.243030739
532	3.232796498
533	3.223968363
534	3.216034999
535	3.204937116
536	3.189692946
537	3.187222977
538	3.169558184
539	3.157769568
540	3.151186397
541	3.14475891
542	3.130735667
543	3.122067513
544	3.109230631
545	3.101429803
546	3.098328477
547	3.086252947
548	3.078042835
549	3.07005438
550	3.059820965
551	3.047280947
552	3.035660622
553	3.031675081
554	3.018300913
555	3.01616318
556	3.010249868
557	2.999202618
558	2.984102471
559	2.979688703
560	2.97759359
561	2.971294198
562	2.964274441
563	2.958581999
564	2.95332142
565	2.942323124
566	2.934978452
567	2.930868815
568	2.921625233
569	2.915509476
570	2.9112046
571	2.903988045
572	2.897584437
573	2.890130458
574	2.881570727
575	2.878264414
576	2.869690963
577	2.859057726
578	2.848399211
579	2.838823666
580	2.826406992
581	2.814698923
582	2.812698339
583	2.801376577
584	2.788566733
585	2.784024345
586	2.776415348
587	2.767175136
588	2.763509668
589	2.758106808
590	2.750633076
591	2.737534502
592	2.723048938
593	2.714494519
594	2.70236122
595	2.699150859
596	2.694738896
597	2.684632976
598	2.675004077
599	2.665856222
600	2.660906487
601	2.655060881
602	2.647080671
603	2.636264184
604	2.634961117
605	2.627633677
606	2.626012781
607	2.618340695
608	2.610627137
609	2.602173538
610	2.592957885
611	2.584540535
612	2.579896864
613	2.569714064
614	2.561747301
615	2.555930897
616	2.547962013
617	2.546021617
618	2.540842396
619	2.530022439
620	2.522436941
621	2.517555075
622	2.516356608
623	2.510093555
624	2.500215344
625	2.49530432
626	2.494113181
627	2.486243249
628	2.476792579
629	2.464713407
630	2.452769618
631	2.44509541
632	2.440330313
633	2.431131245
634	2.422143842
635	2.415079782
636	2.409974998
637	2.404456032
638	2.398151738
639	2.390197881
640	2.388102993
641	2.377267522
642	2.370444451
643	2.363951948
644	2.354775352
645	2.350283085
646	2.346334386
647	2.344805903
648	2.338535708
649	2.327909132
650	2.319084297
651	2.315929027
652	2.309263728
653	2.303302685
654	2.300294595
655	2.294104946
656	2.290912199
657	2.284940542
658	2.278270635
659	2.27439546
660	2.267840764
661	2.264434046
662	2.25682911
663	2.253438748
664	2.243986713
665	2.234696498
666	2.228669246
667	2.22197024
668	2.21592148
669	2.206844638
670	2.202922975
671	2.194714277
672	2.189196756
673	2.186180944
674	2.181492853
675	2.17585115
676	2.168171173
677	2.1612099
678	2.156303376
679	2.151475713
680	2.143241527
681	2.135157154
682	2.131683	2.683	2.1271684	2.684	2.123233138
685	2.112686	2.3686	2.105885498
687	2.098688	2.3688	2.088689	2.3689	2.085690	2.3690	2.082691	2.3691	2.073692	2.3692	2.069693	2.3693	2.063694	2.3694	2.060695	2.3695	2.056696	2.320215532
697	2.316830255
698	2.310157521
699	2.3699	2.039700	2.2700	2.034701	2.2701	2.030702	2.280599664
703	2.269966227
704	2.265362527
705	2.260431158
706	2.257665522
707	2.247212574
708	2.240450509
709	2.233005259
710	2.222408679
711	2.215535729
712	2.213713627
713	2.210341417
714	2.204868016
715	2.198884585
716	2.195794163
717	2.186838229
718	2.18137896
719	2.176106962
720	2.16960032
721	2.167535455
722	2.163784576
723	2.159002172
724	2.155282635
725	2.150792548
726	2.143229034
727	2.137735779
728	2.132947686
729	2.122832047
730	2.120656101
731	2.116637246
732	2.109478105
733	2.102252407
734	2.095253014
735	2.088741393
736	2.082881238
737	2.076213603
738	2.071503295
739	2.06783019
740	2.06149706
741	2.053226607
742	2.048737159
743	2.042537323
744	2.035906319
745	2.025514475
746	2.022618719
747	2.016201274
748	2.012088259
749	2.000991282
750	1.994011774
751	1.990096455
752	1.984500117
753	1.980041981
754	1.973521923
755	1.969742273
756	1.964653727
757	1.953735647
758	1.944684078
759	1.941376519
760	1.939000178
761	1.93586341
762	1.931361099
763	1.921981081
764	1.913054686
765	1.905626251
766	1.90104379
767	1.900137361
768	1.898979628
769	1.894932122
770	1.890268473
771	1.885002342
772	1.88259363
773	1.872535127
774	1.869156827
775	1.863912348
776	1.858547699
777	1.856479321
778	1.849985908
779	1.845515618
780	1.842461913
781	1.841123391
782	1.837744268
783	1.829669591
784	1.826114311
785	1.822374803
786	1.815259143
787	1.810588201
788	1.802779388
789	1.797276817
790	1.792766377
791	1.786218583
792	1.78244849
793	1.774767806
794	1.767835265
795	1.759288967
796	1.757171699
797	1.754131104
798	1.748428623
799	1.741493265
800	1.738677574
801	1.734755868
802	1.727865408
803	1.721042984
804	1.718489379
805	1.71451754
806	1.71065388
807	1.706675239
808	1.703521185
809	1.700189593
810	1.69507204
811	1.689276848
812	1.68287719
813	1.678472146
814	1.67407205
815	1.672239578
816	1.66942546
817	1.667245758
818	1.665132023
819	1.663451821
820	1.662440236
821	1.658851293
822	1.658166898
823	1.657441154
824	1.654489891
825	1.648260491
826	1.645451254
827	1.641757546
828	1.63917041
829	1.635872272
830	1.631984033
831	1.62921682
832	1.625052989
833	1.622452772
834	1.620339879
835	1.617058741
836	1.612902267
837	1.608881408
838	1.602979489
839	1.597144377
840	1.593573342
841	1.591166438
842	1.58838753
843	1.585474386
844	1.582445762
845	1.580949056
846	1.575826874
847	1.568437954
848	1.566697621
849	1.560374511
850	1.555782213
851	1.550659677
852	1.548414632
853	1.541081586
854	1.539231779
855	1.533261619
856	1.527754621
857	1.525121429
858	1.521693411
859	1.519024735
860	1.5157792
861	1.512614991
862	1.510398678
863	1.504509083
864	1.50165184
865	1.496290058
866	1.4942983
867	1.490770601
868	1.487635762
869	1.483348588
870	1.480471705
871	1.478271808
872	1.472388796
873	1.468851741
874	1.464669596
875	1.46312797
876	1.459725909
877	1.458094101
878	1.45406499
879	1.449817492
880	1.446846305
881	1.443462457
882	1.439214063
883	1.434296746
884	1.429297773
885	1.425541647
886	1.422445085
887	1.41921378
888	1.41608706
889	1.413073802
890	1.410462748
891	1.40786694
892	1.406166141
893	1.404211435
894	1.40201395
895	1.397908408
896	1.394356113
897	1.389701623
898	1.387136097
899	1.383107086
900	1.378764803
901	1.374688169
902	1.370936664
903	1.368664825
904	1.365869563
905	1.363227245
906	1.360777112
907	1.358564368
908	1.355765529
909	1.353110972
910	1.34803251
911	1.346807998
912	1.345054711
913	1.344296027
914	1.342455512
915	1.340491823
916	1.338607009
917	1.334412217
918	1.331964919
919	1.328728104
920	1.325393212
921	1.321567967
922	1.320086523
923	1.318400018
924	1.315236189
925	1.309682761
926	1.305827425
927	1.301517865
928	1.298723605
929	1.296652233
930	1.294333646
931	1.292923981
932	1.2905632
933	1.287501335
934	1.285200011
935	1.281471223
936	1.279942529
937	1.277892254
938	1.274740222
939	1.272680676
940	1.269473029
941	1.266313275
942	1.262110087
943	1.259766236
944	1.25874695
945	1.257463838
946	1.253293773
947	1.24981921
948	1.247692839
949	1.246034881
950	1.243887014
951	1.24205034
952	1.238048281
953	1.2345449
954	1.230641263
955	1.227580821
956	1.225568155
957	1.223679932
958	1.221984441
959	1.219871482
960	1.218270807
961	1.215704404
962	1.213508628
963	1.209729233
964	1.206215823
965	1.204401573
966	1.199397971
967	1.197883264
968	1.196177883
969	1.192756711
970	1.189649399
971	1.188237012
972	1.185160893
973	1.182346623
974	1.180372213
975	1.179133864
976	1.178709234
977	1.177409381
978	1.174970449
979	1.171250852
980	1.16914477
981	1.16638617
982	1.163925533
983	1.159975403
984	1.157061894
985	1.154767686
986	1.153743353
987	1.15074489
988	1.148439338
989	1.146670885
990	1.14263627
991	1.14091365
992	1.138585627
993	1.135780101
994	1.132261784
995	1.127682965
996	1.12469306
997	1.123004129
998	1.121190258
999	1.11966613
824717
8789191
02

948
